consumer_id,region_id,node_id,start_date,end_date,consumer_id,transaction_date,transaction_type,transaction_amount,region_code,region_name,churn
373,5,4,2020-04-09,2020-04-28,373,2020-04-09,deposit,596.0,5,Africa,active
373,5,1,2020-03-31,2020-04-08,373,2020-03-31,deposit,596.0,5,Africa,active
373,5,3,2020-03-02,2020-03-30,373,2020-03-02,deposit,596.0,5,Africa,active
373,5,3,2020-02-11,2020-03-01,373,2020-02-11,deposit,596.0,5,Africa,active
373,5,2,2020-01-18,2020-02-10,373,2020-01-18,deposit,596.0,5,Africa,active
361,5,5,2020-05-18,2021-12-31,361,2020-05-18,deposit,797.0,5,Africa,churned
361,5,1,2020-04-18,2020-05-17,361,2020-04-18,deposit,797.0,5,Africa,active
361,5,5,2020-03-22,2020-04-17,361,2020-03-22,deposit,797.0,5,Africa,active
361,5,2,2020-03-10,2020-03-21,361,2020-03-10,deposit,797.0,5,Africa,active
361,5,2,2020-03-07,2020-03-09,361,2020-03-07,deposit,797.0,5,Africa,active
361,5,5,2020-02-11,2020-03-06,361,2020-02-11,deposit,797.0,5,Africa,active
361,5,4,2020-01-12,2020-02-10,361,2020-01-12,deposit,797.0,5,Africa,active
169,1,3,2020-04-29,2021-12-31,169,2020-04-29,deposit,628.0,1,United States,churned
169,1,5,2020-04-17,2020-04-28,169,2020-04-17,deposit,628.0,1,United States,active
169,1,4,2020-03-30,2020-04-16,169,2020-03-30,deposit,628.0,1,United States,active
169,1,3,2020-03-03,2020-03-29,169,2020-03-03,deposit,628.0,1,United States,active
169,1,5,2020-02-17,2020-03-02,169,2020-02-17,deposit,628.0,1,United States,active
169,1,4,2020-01-20,2020-02-16,169,2020-01-20,deposit,628.0,1,United States,active
169,1,1,2020-01-10,2020-01-19,169,2020-01-10,deposit,628.0,1,United States,active
402,2,5,2020-04-20,2021-12-31,402,2020-04-20,deposit,435.0,2,Europe,churned
402,2,4,2020-04-04,2020-04-19,402,2020-04-04,deposit,435.0,2,Europe,active
402,2,1,2020-03-25,2020-04-03,402,2020-03-25,deposit,435.0,2,Europe,active
402,2,2,2020-03-03,2020-03-24,402,2020-03-03,deposit,435.0,2,Europe,active
402,2,5,2020-02-04,2020-03-02,402,2020-02-04,deposit,435.0,2,Europe,active
402,2,1,2020-01-10,2020-02-03,402,2020-01-10,deposit,435.0,2,Europe,active
402,2,5,2020-01-05,2020-01-09,402,2020-01-05,deposit,435.0,2,Europe,active
60,5,3,2020-03-07,2021-12-31,60,2020-03-07,deposit,495.0,5,Africa,churned
60,5,2,2020-02-29,2020-03-06,60,2020-02-29,deposit,495.0,5,Africa,active
60,5,3,2020-02-16,2020-02-28,60,2020-02-16,deposit,495.0,5,Africa,active
60,5,1,2020-02-05,2020-02-15,60,2020-02-05,deposit,495.0,5,Africa,active
60,5,3,2020-01-23,2020-02-04,60,2020-01-23,deposit,495.0,5,Africa,active
60,5,3,2020-01-21,2020-01-22,60,2020-01-21,deposit,495.0,5,Africa,active
60,5,5,2020-01-19,2020-01-20,60,2020-01-19,deposit,495.0,5,Africa,active
378,2,2,2020-04-03,2021-12-31,378,2020-04-03,deposit,193.0,2,Europe,churned
378,2,2,2020-04-02,2020-04-02,378,2020-04-02,deposit,193.0,2,Europe,active
378,2,2,2020-03-15,2020-04-01,378,2020-03-15,deposit,193.0,2,Europe,active
378,2,5,2020-03-08,2020-03-14,378,2020-03-08,deposit,193.0,2,Europe,active
378,2,2,2020-02-08,2020-03-07,378,2020-02-08,deposit,193.0,2,Europe,active
378,2,5,2020-01-19,2020-02-07,378,2020-01-19,deposit,193.0,2,Europe,active
378,2,5,2020-01-07,2020-01-18,378,2020-01-07,deposit,193.0,2,Europe,active
383,2,5,2020-05-16,2021-12-31,383,2020-05-16,deposit,889.0,2,Europe,churned
383,2,2,2020-05-06,2020-05-15,383,2020-05-06,deposit,889.0,2,Europe,active
383,2,4,2020-04-25,2020-05-05,383,2020-04-25,deposit,889.0,2,Europe,active
383,2,5,2020-04-10,2020-04-24,383,2020-04-10,deposit,889.0,2,Europe,active
383,2,3,2020-03-22,2020-04-09,383,2020-03-22,deposit,889.0,2,Europe,active
383,2,3,2020-02-23,2020-03-21,383,2020-02-23,deposit,889.0,2,Europe,active
383,2,1,2020-01-26,2020-02-22,383,2020-01-26,deposit,889.0,2,Europe,active
292,1,4,2020-05-08,2021-12-31,292,2020-05-08,deposit,136.0,1,United States,churned
292,1,2,2020-04-19,2020-05-07,292,2020-04-19,deposit,136.0,1,United States,active
292,1,2,2020-03-20,2020-04-18,292,2020-03-20,deposit,136.0,1,United States,active
292,1,4,2020-03-04,2020-03-19,292,2020-03-04,deposit,136.0,1,United States,active
292,1,1,2020-02-11,2020-03-03,292,2020-02-11,deposit,136.0,1,United States,active
292,1,3,2020-02-03,2020-02-10,292,2020-02-03,deposit,136.0,1,United States,active
292,1,3,2020-01-10,2020-02-02,292,2020-01-10,deposit,136.0,1,United States,active
63,1,1,2020-05-06,2021-12-31,63,2020-05-06,deposit,234.0,1,United States,churned
63,1,2,2020-04-07,2020-05-05,63,2020-04-07,deposit,234.0,1,United States,active
63,1,5,2020-03-23,2020-04-06,63,2020-03-23,deposit,234.0,1,United States,active
63,1,3,2020-03-07,2020-03-22,63,2020-03-07,deposit,234.0,1,United States,active
63,1,3,2020-02-18,2020-03-06,63,2020-02-18,deposit,234.0,1,United States,active
63,1,3,2020-02-02,2020-02-17,63,2020-02-02,deposit,234.0,1,United States,active
63,1,3,2020-01-06,2020-02-01,63,2020-01-06,deposit,234.0,1,United States,active
499,5,1,2020-02-03,2021-12-31,499,2020-02-03,deposit,147.0,5,Africa,churned
499,5,5,2020-01-30,2020-02-02,499,2020-01-30,deposit,147.0,5,Africa,active
499,5,4,2020-01-26,2020-01-29,499,2020-01-26,deposit,147.0,5,Africa,active
499,5,1,2020-01-24,2020-01-25,499,2020-01-24,deposit,147.0,5,Africa,active
499,5,2,2020-01-16,2020-01-23,499,2020-01-16,deposit,147.0,5,Africa,active
499,5,4,2020-01-05,2020-01-15,499,2020-01-05,deposit,147.0,5,Africa,active
499,5,5,2020-01-02,2020-01-04,499,2020-01-02,deposit,147.0,5,Africa,active
130,3,1,2020-04-01,2021-12-31,130,2020-04-01,deposit,557.0,3,Australia,churned
130,3,5,2020-03-26,2020-03-31,130,2020-03-26,deposit,557.0,3,Australia,active
130,3,1,2020-03-03,2020-03-25,130,2020-03-03,deposit,557.0,3,Australia,active
130,3,2,2020-02-25,2020-03-02,130,2020-02-25,deposit,557.0,3,Australia,active
130,3,4,2020-01-27,2020-02-24,130,2020-01-27,deposit,557.0,3,Australia,active
130,3,5,2020-01-22,2020-01-26,130,2020-01-22,deposit,557.0,3,Australia,active
130,3,4,2020-01-02,2020-01-21,130,2020-01-02,deposit,557.0,3,Australia,active
441,4,3,2020-04-13,2021-12-31,441,2020-04-13,deposit,418.0,4,Asia,churned
441,4,3,2020-04-03,2020-04-12,441,2020-04-03,deposit,418.0,4,Asia,active
441,4,2,2020-03-27,2020-04-02,441,2020-03-27,deposit,418.0,4,Asia,active
441,4,3,2020-03-03,2020-03-26,441,2020-03-03,deposit,418.0,4,Asia,active
441,4,3,2020-02-11,2020-03-02,441,2020-02-11,deposit,418.0,4,Asia,active
441,4,2,2020-01-24,2020-02-10,441,2020-01-24,deposit,418.0,4,Asia,active
441,4,3,2020-01-12,2020-01-23,441,2020-01-12,deposit,418.0,4,Asia,active
53,4,2,2020-04-09,2021-12-31,53,2020-04-09,deposit,22.0,4,Asia,churned
53,4,1,2020-03-22,2020-04-08,53,2020-03-22,deposit,22.0,4,Asia,active
53,4,1,2020-03-01,2020-03-21,53,2020-03-01,deposit,22.0,4,Asia,active
53,4,3,2020-02-05,2020-02-29,53,2020-02-05,deposit,22.0,4,Asia,active
53,4,1,2020-02-02,2020-02-04,53,2020-02-02,deposit,22.0,4,Asia,active
53,4,3,2020-01-30,2020-02-01,53,2020-01-30,deposit,22.0,4,Asia,active
53,4,1,2020-01-24,2020-01-29,53,2020-01-24,deposit,22.0,4,Asia,active
30,2,4,2020-05-10,2021-12-31,30,2020-05-10,deposit,33.0,2,Europe,churned
30,2,3,2020-05-01,2020-05-09,30,2020-05-01,deposit,33.0,2,Europe,active
30,2,5,2020-04-21,2020-04-30,30,2020-04-21,deposit,33.0,2,Europe,active
30,2,5,2020-03-24,2020-04-20,30,2020-03-24,deposit,33.0,2,Europe,active
30,2,1,2020-02-27,2020-03-23,30,2020-02-27,deposit,33.0,2,Europe,active
30,2,5,2020-02-07,2020-02-26,30,2020-02-07,deposit,33.0,2,Europe,active
30,2,1,2020-01-26,2020-02-06,30,2020-01-26,deposit,33.0,2,Europe,active
305,1,1,2020-05-06,2021-12-31,305,2020-05-06,deposit,36.0,1,United States,churned
305,1,1,2020-04-15,2020-05-05,305,2020-04-15,deposit,36.0,1,United States,active
305,1,5,2020-03-26,2020-04-14,305,2020-03-26,deposit,36.0,1,United States,active
305,1,5,2020-03-06,2020-03-25,305,2020-03-06,deposit,36.0,1,United States,active
305,1,5,2020-02-28,2020-03-05,305,2020-02-28,deposit,36.0,1,United States,active
305,1,2,2020-02-09,2020-02-27,305,2020-02-09,deposit,36.0,1,United States,active
305,1,4,2020-01-09,2020-02-08,305,2020-01-09,deposit,36.0,1,United States,active
136,3,4,2020-05-01,2021-12-31,136,2020-05-01,deposit,882.0,3,Australia,churned
136,3,5,2020-04-27,2020-04-30,136,2020-04-27,deposit,882.0,3,Australia,active
136,3,5,2020-03-31,2020-04-26,136,2020-03-31,deposit,882.0,3,Australia,active
136,3,5,2020-03-05,2020-03-30,136,2020-03-05,deposit,882.0,3,Australia,active
136,3,3,2020-02-16,2020-03-04,136,2020-02-16,deposit,882.0,3,Australia,active
136,3,1,2020-01-17,2020-02-15,136,2020-01-17,deposit,882.0,3,Australia,active
136,3,2,2020-01-11,2020-01-16,136,2020-01-11,deposit,882.0,3,Australia,active
276,1,2,2020-04-07,2021-12-31,276,2020-04-07,deposit,926.0,1,United States,churned
276,1,1,2020-03-16,2020-04-06,276,2020-03-16,deposit,926.0,1,United States,active
276,1,4,2020-02-15,2020-03-15,276,2020-02-15,deposit,926.0,1,United States,active
276,1,1,2020-02-07,2020-02-14,276,2020-02-07,deposit,926.0,1,United States,active
276,1,1,2020-01-16,2020-02-06,276,2020-01-16,deposit,926.0,1,United States,active
276,1,4,2020-01-11,2020-01-15,276,2020-01-11,deposit,926.0,1,United States,active
276,1,4,2020-01-07,2020-01-10,276,2020-01-07,deposit,926.0,1,United States,active
410,2,2,2020-04-26,2021-12-31,410,2020-04-26,deposit,601.0,2,Europe,churned
410,2,2,2020-04-01,2020-04-25,410,2020-04-01,deposit,601.0,2,Europe,active
410,2,1,2020-03-08,2020-03-31,410,2020-03-08,deposit,601.0,2,Europe,active
410,2,3,2020-02-21,2020-03-07,410,2020-02-21,deposit,601.0,2,Europe,active
410,2,5,2020-02-07,2020-02-20,410,2020-02-07,deposit,601.0,2,Europe,active
410,2,4,2020-01-11,2020-02-06,410,2020-01-11,deposit,601.0,2,Europe,active
410,2,5,2020-01-07,2020-01-10,410,2020-01-07,deposit,601.0,2,Europe,active
152,4,4,2020-03-28,2021-12-31,152,2020-03-28,deposit,917.0,4,Asia,churned
152,4,3,2020-03-16,2020-03-27,152,2020-03-16,deposit,917.0,4,Asia,active
152,4,3,2020-03-11,2020-03-15,152,2020-03-11,deposit,917.0,4,Asia,active
152,4,5,2020-02-24,2020-03-10,152,2020-02-24,deposit,917.0,4,Asia,active
152,4,2,2020-02-03,2020-02-23,152,2020-02-03,deposit,917.0,4,Asia,active
152,4,5,2020-01-16,2020-02-02,152,2020-01-16,deposit,917.0,4,Asia,active
152,4,1,2020-01-01,2020-01-15,152,2020-01-01,deposit,917.0,4,Asia,active
123,4,5,2020-04-26,2021-12-31,123,2020-04-26,deposit,423.0,4,Asia,churned
123,4,4,2020-04-06,2020-04-25,123,2020-04-06,deposit,423.0,4,Asia,active
123,4,3,2020-04-04,2020-04-05,123,2020-04-04,deposit,423.0,4,Asia,active
123,4,2,2020-03-13,2020-04-03,123,2020-03-13,deposit,423.0,4,Asia,active
123,4,1,2020-02-20,2020-03-12,123,2020-02-20,deposit,423.0,4,Asia,active
123,4,3,2020-01-21,2020-02-19,123,2020-01-21,deposit,423.0,4,Asia,active
123,4,2,2020-01-16,2020-01-20,123,2020-01-16,deposit,423.0,4,Asia,active
17,2,1,2020-04-20,2021-12-31,17,2020-04-20,deposit,465.0,2,Europe,churned
17,2,4,2020-03-21,2020-04-19,17,2020-03-21,deposit,465.0,2,Europe,active
17,2,3,2020-03-11,2020-03-20,17,2020-03-11,deposit,465.0,2,Europe,active
17,2,2,2020-03-06,2020-03-10,17,2020-03-06,deposit,465.0,2,Europe,active
17,2,2,2020-02-24,2020-03-05,17,2020-02-24,deposit,465.0,2,Europe,active
17,2,2,2020-01-28,2020-02-23,17,2020-01-28,deposit,465.0,2,Europe,active
17,2,3,2020-01-19,2020-01-27,17,2020-01-19,deposit,465.0,2,Europe,active
472,4,4,2020-05-02,2021-12-31,472,2020-05-02,deposit,495.0,4,Asia,churned
472,4,4,2020-04-10,2020-05-01,472,2020-04-10,deposit,495.0,4,Asia,active
472,4,2,2020-03-26,2020-04-09,472,2020-03-26,deposit,495.0,4,Asia,active
472,4,1,2020-03-20,2020-03-25,472,2020-03-20,deposit,495.0,4,Asia,active
472,4,2,2020-03-03,2020-03-19,472,2020-03-03,deposit,495.0,4,Asia,active
472,4,5,2020-02-05,2020-03-02,472,2020-02-05,deposit,495.0,4,Asia,active
472,4,2,2020-01-18,2020-02-04,472,2020-01-18,deposit,495.0,4,Asia,active
100,1,5,2020-03-22,2021-12-31,100,2020-03-22,deposit,158.0,1,United States,churned
100,1,1,2020-02-28,2020-03-21,100,2020-02-28,deposit,158.0,1,United States,active
100,1,4,2020-02-23,2020-02-27,100,2020-02-23,deposit,158.0,1,United States,active
100,1,5,2020-02-04,2020-02-22,100,2020-02-04,deposit,158.0,1,United States,active
100,1,2,2020-01-23,2020-02-03,100,2020-01-23,deposit,158.0,1,United States,active
100,1,1,2020-01-16,2020-01-22,100,2020-01-16,deposit,158.0,1,United States,active
100,1,3,2020-01-06,2020-01-15,100,2020-01-06,deposit,158.0,1,United States,active
56,4,2,2020-03-22,2021-12-31,56,2020-03-22,deposit,864.0,4,Asia,churned
56,4,1,2020-03-07,2020-03-21,56,2020-03-07,deposit,864.0,4,Asia,active
56,4,1,2020-03-03,2020-03-06,56,2020-03-03,deposit,864.0,4,Asia,active
56,4,2,2020-02-16,2020-03-02,56,2020-02-16,deposit,864.0,4,Asia,active
56,4,1,2020-01-24,2020-02-15,56,2020-01-24,deposit,864.0,4,Asia,active
56,4,1,2020-01-21,2020-01-23,56,2020-01-21,deposit,864.0,4,Asia,active
56,4,4,2020-01-18,2020-01-20,56,2020-01-18,deposit,864.0,4,Asia,active
455,1,2,2020-03-17,2021-12-31,455,2020-03-17,deposit,329.0,1,United States,churned
455,1,2,2020-03-05,2020-03-16,455,2020-03-05,deposit,329.0,1,United States,active
455,1,1,2020-03-01,2020-03-04,455,2020-03-01,deposit,329.0,1,United States,active
455,1,3,2020-01-31,2020-02-29,455,2020-01-31,deposit,329.0,1,United States,active
455,1,4,2020-01-19,2020-01-30,455,2020-01-19,deposit,329.0,1,United States,active
455,1,4,2020-01-11,2020-01-18,455,2020-01-11,deposit,329.0,1,United States,active
455,1,2,2020-01-07,2020-01-10,455,2020-01-07,deposit,329.0,1,United States,active
357,4,2,2020-05-11,2021-12-31,357,2020-05-11,deposit,780.0,4,Asia,churned
357,4,5,2020-04-13,2020-05-10,357,2020-04-13,deposit,780.0,4,Asia,active
357,4,3,2020-03-17,2020-04-12,357,2020-03-17,deposit,780.0,4,Asia,active
357,4,2,2020-03-04,2020-03-16,357,2020-03-04,deposit,780.0,4,Asia,active
357,4,2,2020-02-24,2020-03-03,357,2020-02-24,deposit,780.0,4,Asia,active
357,4,2,2020-02-18,2020-02-23,357,2020-02-18,deposit,780.0,4,Asia,active
357,4,4,2020-01-20,2020-02-17,357,2020-01-20,deposit,780.0,4,Asia,active
480,2,2,2020-04-24,2021-12-31,480,2020-04-24,deposit,522.0,2,Europe,churned
480,2,5,2020-04-11,2020-04-23,480,2020-04-11,deposit,522.0,2,Europe,active
480,2,3,2020-04-10,2020-04-10,480,2020-04-10,deposit,522.0,2,Europe,active
480,2,1,2020-03-25,2020-04-09,480,2020-03-25,deposit,522.0,2,Europe,active
480,2,1,2020-03-06,2020-03-24,480,2020-03-06,deposit,522.0,2,Europe,active
480,2,3,2020-02-24,2020-03-05,480,2020-02-24,deposit,522.0,2,Europe,active
480,2,2,2020-01-29,2020-02-23,480,2020-01-29,deposit,522.0,2,Europe,active
168,5,5,2020-05-31,2021-12-31,168,2020-05-31,deposit,114.0,5,Africa,churned
168,5,4,2020-05-11,2020-05-30,168,2020-05-11,deposit,114.0,5,Africa,active
168,5,2,2020-04-16,2020-05-10,168,2020-04-16,deposit,114.0,5,Africa,active
168,5,1,2020-03-31,2020-04-15,168,2020-03-31,deposit,114.0,5,Africa,active
168,5,5,2020-03-14,2020-03-30,168,2020-03-14,deposit,114.0,5,Africa,active
168,5,3,2020-02-13,2020-03-13,168,2020-02-13,deposit,114.0,5,Africa,active
168,5,1,2020-01-13,2020-02-12,168,2020-01-13,deposit,114.0,5,Africa,active
369,4,5,2020-04-03,2021-12-31,369,2020-04-03,deposit,376.0,4,Asia,churned
369,4,1,2020-03-20,2020-04-02,369,2020-03-20,deposit,376.0,4,Asia,active
369,4,1,2020-02-29,2020-03-19,369,2020-02-29,deposit,376.0,4,Asia,active
369,4,1,2020-02-22,2020-02-28,369,2020-02-22,deposit,376.0,4,Asia,active
369,4,1,2020-02-21,2020-02-21,369,2020-02-21,deposit,376.0,4,Asia,active
369,4,3,2020-02-14,2020-02-20,369,2020-02-14,deposit,376.0,4,Asia,active
369,4,4,2020-01-25,2020-02-13,369,2020-01-25,deposit,376.0,4,Asia,active
338,3,4,2020-04-29,2021-12-31,338,2020-04-29,deposit,628.0,3,Australia,churned
338,3,5,2020-04-26,2020-04-28,338,2020-04-26,deposit,628.0,3,Australia,active
338,3,2,2020-04-01,2020-04-25,338,2020-04-01,deposit,628.0,3,Australia,active
338,3,4,2020-03-16,2020-03-31,338,2020-03-16,deposit,628.0,3,Australia,active
338,3,1,2020-03-06,2020-03-15,338,2020-03-06,deposit,628.0,3,Australia,active
338,3,1,2020-02-10,2020-03-05,338,2020-02-10,deposit,628.0,3,Australia,active
338,3,5,2020-01-17,2020-02-09,338,2020-01-17,deposit,628.0,3,Australia,active
296,5,3,2020-03-19,2021-12-31,296,2020-03-19,deposit,846.0,5,Africa,churned
296,5,4,2020-02-19,2020-03-18,296,2020-02-19,deposit,846.0,5,Africa,active
296,5,1,2020-01-24,2020-02-18,296,2020-01-24,deposit,846.0,5,Africa,active
296,5,5,2020-01-22,2020-01-23,296,2020-01-22,deposit,846.0,5,Africa,active
296,5,4,2020-01-20,2020-01-21,296,2020-01-20,deposit,846.0,5,Africa,active
296,5,5,2020-01-18,2020-01-19,296,2020-01-18,deposit,846.0,5,Africa,active
296,5,3,2020-01-13,2020-01-17,296,2020-01-13,deposit,846.0,5,Africa,active
374,2,4,2020-03-12,2021-12-31,374,2020-03-12,deposit,117.0,2,Europe,churned
374,2,5,2020-02-21,2020-03-11,374,2020-02-21,deposit,117.0,2,Europe,active
374,2,2,2020-02-12,2020-02-20,374,2020-02-12,deposit,117.0,2,Europe,active
374,2,4,2020-02-10,2020-02-11,374,2020-02-10,deposit,117.0,2,Europe,active
374,2,4,2020-02-01,2020-02-09,374,2020-02-01,deposit,117.0,2,Europe,active
374,2,1,2020-01-24,2020-01-31,374,2020-01-24,deposit,117.0,2,Europe,active
374,2,2,2020-01-08,2020-01-23,374,2020-01-08,deposit,117.0,2,Europe,active
194,4,5,2020-05-23,2021-12-31,194,2020-05-23,deposit,137.0,4,Asia,churned
194,4,2,2020-05-15,2020-05-22,194,2020-05-15,deposit,137.0,4,Asia,active
194,4,5,2020-04-19,2020-05-14,194,2020-04-19,deposit,137.0,4,Asia,active
194,4,1,2020-03-23,2020-04-18,194,2020-03-23,deposit,137.0,4,Asia,active
194,4,1,2020-02-28,2020-03-22,194,2020-02-28,deposit,137.0,4,Asia,active
194,4,5,2020-02-26,2020-02-27,194,2020-02-26,deposit,137.0,4,Asia,active
194,4,5,2020-01-28,2020-02-25,194,2020-01-28,deposit,137.0,4,Asia,active
135,5,4,2020-04-22,2021-12-31,135,2020-04-22,deposit,949.0,5,Africa,churned
135,5,3,2020-03-26,2020-04-21,135,2020-03-26,deposit,949.0,5,Africa,active
135,5,4,2020-03-23,2020-03-25,135,2020-03-23,deposit,949.0,5,Africa,active
135,5,1,2020-03-08,2020-03-22,135,2020-03-08,deposit,949.0,5,Africa,active
135,5,3,2020-02-08,2020-03-07,135,2020-02-08,deposit,949.0,5,Africa,active
135,5,5,2020-01-29,2020-02-07,135,2020-01-29,deposit,949.0,5,Africa,active
135,5,4,2020-01-09,2020-01-28,135,2020-01-09,deposit,949.0,5,Africa,active
21,3,4,2020-04-25,2021-12-31,21,2020-04-25,deposit,28.0,3,Australia,churned
21,3,5,2020-04-02,2020-04-24,21,2020-04-02,deposit,28.0,3,Australia,active
21,3,4,2020-03-08,2020-04-01,21,2020-03-08,deposit,28.0,3,Australia,active
21,3,2,2020-02-27,2020-03-07,21,2020-02-27,deposit,28.0,3,Australia,active
21,3,2,2020-02-23,2020-02-26,21,2020-02-23,deposit,28.0,3,Australia,active
21,3,1,2020-01-26,2020-02-22,21,2020-01-26,deposit,28.0,3,Australia,active
21,3,2,2020-01-12,2020-01-25,21,2020-01-12,deposit,28.0,3,Australia,active
69,1,4,2020-04-18,2021-12-31,69,2020-04-18,deposit,124.0,1,United States,churned
69,1,2,2020-03-29,2020-04-17,69,2020-03-29,deposit,124.0,1,United States,active
69,1,5,2020-03-16,2020-03-28,69,2020-03-16,deposit,124.0,1,United States,active
69,1,4,2020-03-06,2020-03-15,69,2020-03-06,deposit,124.0,1,United States,active
69,1,2,2020-03-03,2020-03-05,69,2020-03-03,deposit,124.0,1,United States,active
69,1,1,2020-02-10,2020-03-02,69,2020-02-10,deposit,124.0,1,United States,active
69,1,1,2020-01-10,2020-02-09,69,2020-01-10,deposit,124.0,1,United States,active
32,4,2,2020-04-04,2021-12-31,32,2020-04-04,deposit,812.0,4,Asia,churned
32,4,5,2020-03-06,2020-04-03,32,2020-03-06,deposit,812.0,4,Asia,active
32,4,5,2020-02-29,2020-03-05,32,2020-02-29,deposit,812.0,4,Asia,active
32,4,3,2020-02-16,2020-02-28,32,2020-02-16,deposit,812.0,4,Asia,active
32,4,1,2020-02-08,2020-02-15,32,2020-02-08,deposit,812.0,4,Asia,active
32,4,4,2020-01-15,2020-02-07,32,2020-01-15,deposit,812.0,4,Asia,active
32,4,4,2020-01-12,2020-01-14,32,2020-01-12,deposit,812.0,4,Asia,active
206,2,3,2020-03-11,2021-12-31,206,2020-03-11,deposit,811.0,2,Europe,churned
206,2,5,2020-02-21,2020-03-10,206,2020-02-21,deposit,811.0,2,Europe,active
206,2,3,2020-02-11,2020-02-20,206,2020-02-11,deposit,811.0,2,Europe,active
206,2,2,2020-02-07,2020-02-10,206,2020-02-07,deposit,811.0,2,Europe,active
206,2,3,2020-01-28,2020-02-06,206,2020-01-28,deposit,811.0,2,Europe,active
206,2,3,2020-01-13,2020-01-27,206,2020-01-13,deposit,811.0,2,Europe,active
206,2,4,2020-01-09,2020-01-12,206,2020-01-09,deposit,811.0,2,Europe,active
269,5,3,2020-04-12,2021-12-31,269,2020-04-12,deposit,654.0,5,Africa,churned
269,5,2,2020-03-24,2020-04-11,269,2020-03-24,deposit,654.0,5,Africa,active
269,5,5,2020-03-14,2020-03-23,269,2020-03-14,deposit,654.0,5,Africa,active
269,5,3,2020-03-03,2020-03-13,269,2020-03-03,deposit,654.0,5,Africa,active
269,5,1,2020-02-24,2020-03-02,269,2020-02-24,deposit,654.0,5,Africa,active
269,5,5,2020-01-31,2020-02-23,269,2020-01-31,deposit,654.0,5,Africa,active
269,5,3,2020-01-14,2020-01-30,269,2020-01-14,deposit,654.0,5,Africa,active
460,3,4,2020-03-25,2021-12-31,460,2020-03-25,deposit,80.0,3,Australia,churned
460,3,1,2020-02-28,2020-03-24,460,2020-02-28,deposit,80.0,3,Australia,active
460,3,3,2020-02-27,2020-02-27,460,2020-02-27,deposit,80.0,3,Australia,active
460,3,4,2020-02-18,2020-02-26,460,2020-02-18,deposit,80.0,3,Australia,active
460,3,5,2020-02-07,2020-02-17,460,2020-02-07,deposit,80.0,3,Australia,active
460,3,4,2020-02-04,2020-02-06,460,2020-02-04,deposit,80.0,3,Australia,active
460,3,4,2020-01-29,2020-02-03,460,2020-01-29,deposit,80.0,3,Australia,active
